id,S,L,pred,herb,mutu,para
4519,7,6,0,0,0,6
4520,7,7,0,0,0,7
4521,8,8,0,0,0,8
4522,6,8,0,0,0,8
4523,4,3,0,0,0,3
4524,4,3,0,0,0,3
4525,4,3,0,0,0,3
4526,4,3,0,0,0,3
4527,4,3,0,0,0,3
4528,2,1,0,0,0,1
4529,2,1,0,0,0,1
4530,3,2,0,0,0,2
4531,3,2,0,0,0,2
4532,9,8,0,0,0,8
4533,4,3,0,0,0,3
4534,7,6,0,0,0,6
4535,4,3,0,0,0,3
4536,2,1,0,0,0,1
4537,3,2,0,0,0,2
4538,4,3,0,0,0,3
4539,5,4,0,0,0,4
4540,13,16,0,0,0,16
4541,3,2,0,0,0,2
4542,15,10,0,0,0,10
4543,25,18,0,0,0,18
4544,3,2,0,0,0,2
4545,22,19,0,0,0,19
4546,2,1,0,0,0,1
4547,17,21,0,0,0,21
4548,12,11,0,0,0,11
4549,6,3,0,0,0,3
4550,15,12,0,0,0,12
4551,5,4,0,0,0,4
4552,3,2,0,0,0,2
4553,3,2,0,0,0,2
4554,9,7,0,0,0,7
4555,10,13,0,0,0,13
4556,6,5,0,0,0,5
4557,6,5,0,0,0,5
4558,8,6,0,0,0,6
4559,5,4,0,0,0,4
4560,10,9,0,0,0,9
4561,4,0,0,0,0,0
4562,20,31,0,0,0,31
4563,8,7,0,0,0,7
4564,14,21,0,0,0,21
4565,16,20,0,0,0,20
4566,6,5,0,0,0,5
4567,14,14,0,0,0,14
4568,6,5,0,0,0,5
4569,8,7,0,0,0,7
4570,13,18,0,0,0,18
4571,4,3,0,0,0,3
4572,3,2,0,0,0,2
4573,9,10,0,0,0,10
4574,5,4,0,0,0,4
4575,3,2,0,0,0,2
4576,5,3,0,0,0,3
4577,10,7,0,0,0,7
4578,7,5,0,0,0,5
4579,7,6,0,0,0,6
4580,7,6,0,0,0,6
4581,5,4,0,0,0,4
4582,9,11,0,0,0,11
4583,6,4,0,0,0,4
4584,5,4,0,0,0,4
4585,5,4,0,0,0,4
4586,14,19,0,0,0,19
4587,6,5,0,0,0,5
4588,3,2,0,0,0,2
4589,6,5,0,0,0,5
4590,12,13,0,0,0,13
4591,14,14,0,0,0,14
4592,4,3,0,0,0,3
4593,3,2,0,0,0,2
4594,4,3,0,0,0,3
4595,11,12,0,0,0,12
4596,4,3,0,0,0,3
4597,12,13,0,0,0,13
4598,6,6,0,0,0,6
4599,9,10,0,0,0,10
4600,5,4,0,0,0,4
4601,4,3,0,0,0,3
4602,2,1,0,0,0,1
4603,6,4,0,0,0,4
4604,11,8,0,0,0,8
4605,5,4,0,0,0,4
4606,5,3,0,0,0,3
4607,2,0,0,0,0,0
4608,2,1,0,0,0,1
4609,12,18,0,0,0,18
4610,7,8,0,0,0,8
4611,6,5,0,0,0,5
4612,4,3,0,0,0,3
4613,7,5,0,0,0,5
4614,8,6,0,0,0,6
4615,8,6,0,0,0,6
4616,2,1,0,0,0,1
4617,2,1,0,0,0,1
4618,2,1,0,0,0,1
4619,6,5,0,0,0,5
1021,22,35,31,2,0,0
4620,4,3,0,0,0,3
4621,3,2,0,0,0,2
4622,4,3,0,0,0,3
4623,5,4,0,0,0,4
4624,7,6,0,0,0,6
4625,8,7,0,0,0,7
4626,11,15,0,0,0,15
4627,11,10,0,0,0,10
4628,5,4,0,0,0,4
4629,5,4,0,0,0,4
4630,5,4,0,0,0,4
4631,8,7,0,0,0,7
4632,5,4,0,0,0,4
4633,3,2,0,0,0,2
4634,7,6,0,0,0,6
4635,5,4,0,0,0,4
4636,7,6,0,0,0,6
4637,6,6,0,0,0,6
4638,6,5,0,0,0,5
4639,4,3,0,0,0,3
4640,4,3,0,0,0,3
4641,3,2,0,0,0,2
4642,12,14,0,0,0,14
4643,8,10,0,0,0,10
4644,6,5,0,0,0,5
4645,4,3,0,0,0,3
4646,7,7,0,0,0,7
4647,5,4,0,0,0,4
4648,8,7,0,0,0,7
4649,8,7,0,0,0,7
4650,12,11,0,0,0,11
4651,2,1,0,0,0,1
4652,2,1,0,0,0,1
4653,3,2,0,0,0,2
924,15,26,22,4,0,0
4654,3,2,0,0,0,2
4655,8,6,0,0,0,6
4656,14,15,0,0,0,15
4657,11,10,0,0,0,10
4658,7,6,0,0,0,6
4659,6,5,0,0,0,5
4660,7,6,0,0,0,6
4661,3,2,0,0,0,2
4662,4,3,0,0,0,3
4663,4,3,0,0,0,3
4664,7,4,0,0,0,4
4665,5,3,0,0,0,3
4666,6,4,0,0,0,4
4667,4,3,0,0,0,3
4668,13,13,0,0,0,13
4669,3,2,0,0,0,2
4670,12,11,0,0,0,11
4671,5,4,0,0,0,4
4672,9,9,0,0,0,9
4673,11,15,0,0,0,15
4674,4,3,0,0,0,3
4675,5,3,0,0,0,3
4676,6,5,0,0,0,5
4677,4,3,0,0,0,3
4678,12,11,0,0,0,11
4679,6,4,0,0,0,4
4680,2,1,0,0,0,1
4681,5,4,0,0,0,4
4682,14,19,0,0,0,19
4683,3,2,0,0,0,2
4684,11,12,0,0,0,12
4685,7,6,0,0,0,6
4686,10,9,0,0,0,9
4687,5,4,0,0,0,4
4688,15,12,0,0,0,12
4689,2,1,0,0,0,1
4690,12,10,0,0,0,10
4691,14,16,0,0,0,16
4692,21,15,0,0,0,15
4693,15,8,0,0,0,8
4694,15,21,0,0,0,21
4695,3,2,0,0,0,2
4696,5,4,0,0,0,4
4697,3,2,0,0,0,2
4698,9,9,0,0,0,9
4699,8,7,0,0,0,7
4700,3,0,0,0,0,0
4701,4,3,0,0,0,3
4702,7,6,0,0,0,6
4703,6,0,0,0,0,0
4704,9,8,0,0,0,8
4705,13,14,0,0,0,14
4706,7,6,0,0,0,6
4707,8,7,0,0,0,7
4708,4,3,0,0,0,3
4709,7,7,0,0,0,7
4710,7,6,0,0,0,6
4711,2,1,0,0,0,1
4712,4,3,0,0,0,3
4713,2,1,0,0,0,1
4714,3,2,0,0,0,2
4715,5,4,0,0,0,4
4716,4,3,0,0,0,3
4717,6,5,0,0,0,5
4718,7,6,0,0,0,6
4719,7,6,0,0,0,6
4720,7,6,0,0,0,6
1102,23,141,135,6,0,0
4721,2,1,0,0,0,1
4722,8,6,0,0,0,6
4723,5,4,0,0,0,4
4724,3,2,0,0,0,2
4725,6,8,0,0,0,8
4726,5,3,0,0,0,3
4727,5,4,0,0,0,4
4728,2,1,0,0,0,1
4729,5,5,0,0,0,5
4730,10,12,0,0,0,12
4731,10,9,0,0,0,9
889,20,60,53,4,0,0
890,14,25,25,0,0,0
1268,34,156,111,19,0,0
893,78,607,510,62,0,35
1089,21,50,13,13,0,0
1090,21,50,12,14,0,0
1091,23,46,14,10,0,0
1092,27,56,18,8,0,0
1093,25,52,15,9,0,0
1094,28,61,19,10,0,0
1095,32,73,29,6,0,0
1096,31,71,23,8,0,0
1097,27,62,16,8,0,0
1098,49,139,55,24,0,0
1099,52,149,60,27,0,0
1100,51,143,56,27,0,0
907,14,52,30,12,0,0
906,14,51,29,12,0,0
943,12,16,0,0,0,0
942,19,45,0,0,0,0
1281,15,26,17,6,0,0
1282,14,28,19,6,0,0
927,11,27,0,0,0,0
926,13,34,0,0,0,0
1104,35,107,0,0,0,0
1108,19,44,0,0,0,0
1105,29,124,0,0,0,0
1107,25,60,0,0,0,0
1106,37,175,0,0,0,0
918,29,97,0,0,0,0
920,28,100,0,0,0,0
921,26,88,0,0,0,0
919,28,98,0,0,0,0
928,45,96,0,0,96,0
929,26,71,0,0,71,0
931,26,110,0,0,0,0
935,22,30,0,0,30,0
934,27,52,0,0,52,0
938,97,178,0,0,178,0
939,36,80,0,0,80,0
940,156,200,0,0,200,0
948,456,871,0,0,871,0
944,209,666,0,0,666,0
945,57,143,0,0,143,0
949,185,372,0,0,372,0
950,105,199,0,0,199,0
951,68,91,0,0,91,0
954,11,15,0,0,15,0
953,14,16,0,0,16,0
952,24,29,0,0,29,0
955,84,145,0,0,145,0
1007,28,61,0,0,0,61
1016,49,88,0,0,0,88
1031,27,39,0,0,0,39
1026,27,36,0,0,0,36
1027,33,105,0,0,0,105
1029,34,68,0,0,0,68
1032,58,107,0,0,0,107
1033,33,142,0,0,0,142
1035,19,19,0,0,0,19
1037,29,51,0,0,0,51
1047,13,15,0,0,0,15
1048,21,30,0,0,0,30
1049,38,90,0,0,0,90
1050,30,52,0,0,0,52
1052,26,28,0,0,0,28
1053,21,50,0,0,0,50
1054,53,84,0,0,0,84
1057,23,57,0,0,0,57
1068,21,67,43,9,0,0
1060,26,71,0,0,0,71
1061,24,39,0,0,0,39
1063,39,107,0,0,0,107
1022,10,12,0,0,0,12
1028,24,57,0,0,0,57
1030,17,41,0,0,0,41
1008,42,96,0,0,0,96
1034,47,108,0,0,0,108
1009,32,108,0,0,0,108
1010,27,52,0,0,0,52
1011,20,51,0,0,0,51
1012,53,123,0,0,0,123
1013,25,43,0,0,0,43
1014,32,37,0,0,0,37
1015,36,97,0,0,0,97
1017,23,43,0,0,0,43
1018,30,63,0,0,0,63
1059,37,100,0,0,0,100
1062,62,226,0,0,0,226
1044,27,32,0,0,0,32
1025,36,127,0,0,0,127
